iter	Passed	Remaining
722	1044	400
723	1046	398
724	1047	397
725	1048	395
726	1050	394
727	1051	392
728	1053	391
729	1054	390
730	1055	388
731	1057	387
732	1058	385
733	1060	384
734	1061	382
735	1062	381
736	1064	379
737	1065	378
738	1066	376
739	1068	375
740	1069	373
741	1071	372
742	1072	370
743	1073	369
744	1075	368
745	1076	366
746	1078	365
747	1079	363
748	1080	362
749	1082	360
750	1083	359
751	1085	357
752	1086	356
753	1087	354
754	1089	353
755	1090	351
756	1091	350
757	1093	349
758	1094	347
759	1095	346
760	1097	344
761	1098	343
762	1099	341
763	1101	340
764	1102	338
765	1104	337
766	1105	335
767	1106	334
768	1108	332
769	1109	331
770	1110	329
771	1112	328
772	1113	327
773	1114	325
774	1116	324
775	1117	322
776	1119	321
777	1120	319
778	1121	318
779	1123	316
780	1124	315
781	1126	313
782	1127	312
783	1128	311
784	1130	309
785	1131	308
786	1132	306
787	1134	305
788	1135	303
789	1137	302
790	1138	300
791	1139	299
792	1141	297
793	1142	296
794	1143	294
795	1145	293
796	1146	292
797	1147	290
798	1149	289
799	1150	287
800	1152	286
801	1153	284
802	1154	283
803	1156	281
804	1157	280
805	1158	278
806	1160	277
807	1161	276
808	1162	274
809	1164	273
810	1165	271
811	1166	270
812	1168	268
813	1169	267
814	1171	265
815	1172	264
816	1173	262
817	1175	261
818	1176	259
819	1177	258
820	1179	257
821	1180	255
822	1181	254
823	1183	252
824	1184	251
825	1185	249
826	1187	248
827	1188	246
828	1189	245
829	1191	243
830	1192	242
831	1194	241
832	1195	239
833	1196	238
834	1198	236
835	1199	235
836	1201	233
837	1202	232
838	1204	231
839	1205	229
840	1206	228
841	1208	226
842	1209	225
843	1211	223
844	1213	222
845	1214	221
846	1215	219
847	1217	218
848	1218	216
849	1220	215
850	1221	213
851	1222	212
852	1224	210
853	1225	209
854	1226	208
855	1228	206
856	1229	205
857	1230	203
858	1232	202
859	1233	200
860	1235	199
861	1236	197
862	1237	196
863	1239	195
864	1240	193
865	1241	192
866	1243	190
867	1244	189
868	1246	187
869	1247	186
870	1248	184
871	1250	183
872	1251	182
873	1253	180
874	1254	179
875	1256	177
876	1257	176
877	1259	174
878	1260	173
879	1261	172
880	1263	170
881	1264	169
882	1266	167
883	1267	166
884	1269	164
885	1270	163
886	1272	162
887	1273	160
888	1274	159
889	1276	157
890	1277	156
891	1279	154
892	1280	153
893	1281	151
894	1283	150
895	1284	149
896	1286	147
897	1287	146
898	1289	144
899	1290	143
900	1291	141
901	1293	140
902	1294	139
903	1296	137
904	1297	136
905	1299	134
906	1300	133
907	1302	131
908	1303	130
909	1305	129
910	1306	127
911	1307	126
912	1309	124
913	1310	123
914	1312	121
915	1313	120
916	1314	118
917	1316	117
918	1317	116
919	1319	114
920	1321	113
921	1322	111
922	1323	110
923	1325	108
924	1326	107
925	1327	106
926	1329	104
927	1330	103
928	1331	101
929	1333	100
930	1335	98
931	1336	97
932	1338	96
933	1339	94
934	1340	93
935	1342	91
936	1343	90
937	1345	88
938	1346	87
939	1347	86
940	1349	84
941	1351	83
942	1352	81
943	1353	80
944	1355	78
945	1356	77
946	1357	75
947	1359	74
948	1360	73
949	1362	71
950	1363	70
951	1364	68
952	1366	67
953	1368	65
954	1369	64
955	1370	63
956	1372	61
957	1373	60
958	1374	58
959	1376	57
960	1377	55
961	1379	54
962	1380	53
963	1381	51
964	1383	50
965	1385	48
966	1386	47
967	1387	45
968	1389	44
969	1390	43
970	1392	41
971	1393	40
972	1394	38
973	1396	37
974	1397	35
975	1398	34
976	1400	32
977	1402	31
978	1404	30
979	1406	28
980	1407	27
981	1409	25
982	1410	24
983	1411	22
984	1413	21
985	1414	20
986	1416	18
987	1417	17
988	1419	15
989	1420	14
990	1422	12
991	1423	11
992	1425	10
993	1427	8
994	1428	7
995	1430	5
996	1431	4
997	1433	2
998	1434	1
999	1436	0
